Mockup 1 Labels,Mockup 1,Mockup 1 File Names,Mockup 1 Telescope,Mockup 1 Parallax,Mockup 1 Mask Radius,Mockup 1 Crop,Mockup 1 Band,Mockup 1 Smoothing,Mockup 2 Labels,Mockup 2,Mockup 2 File Names,Mockup 2 Telescope,Mockup 2 Parallax,Mockup 2 Mask Radius,Mockup 2 Crop,Mockup 2 Band,Mockup 2 Smoothing,Mockup 3 Labels,Mockup 3,Mockup 3 Telescope,Mockup 3 File Names,Mockup 3 Parallax,Mockup 3 Mask Radius,Mockup 3 Crop,Mockup 3 Band,Mockup 3 Smoothing,Mockup 4 Labels,Mockup 4,Mockup 4 Telescope,Mockup 4 File Names,Mockup 4 Parallax,Mockup 4 Mask Radius,Mockup 4 Band,Mockup 4 Crop,Mockup 4 Crop,Mockup 4 Smoothing,Mockup 5 Labels,Mockup 5,Mockup 5 Telescope,Mockup 5 File Names,Mockup 5 Parallax,Mockup 5 Mask Radius,Mockup 5 Crop,Mockup 5 Band,Mockup 5 Crop,Mockup 5 Smoothing,Mockup 6 Labels,Mockup 6,Mockup 6 Telescope,Mockup 6 File Names,Mockup 6 Parallax,Mockup 6 Mask Radius,Mockup 6 Band,Mockup 6 Crop,Mockup 6 Smoothing,Mockup 7 Labels,Mockup 7,Mockup 7 Telescope,Mockup 7 File Names,Mockup 7 Parallax,Mockup 7 Mask Radius,Mockup 7 Band,Mockup 7 Crop,Mockup 7 Smoothing,Mockup 8 Labels,Mockup 8,Mockup 8 Telescope,Mockup 8 File Names,Mockup 8 Parallax,Mockup 8 Mask Radius,Mockup 8 Band,Mockup 8 Crop,Mockup 8 Smoothing,Mockup 9 Labels,Mockup 9,Mockup 9 Telescope,Mockup 9 File Names,Mockup 9 Parallax,Mockup 9 Mask Radius,Mockup 9 Band,Mockup 9 Crop,Mockup 9 Smoothing,Mockup 10 Labels,Mockup 10,Mockup 10 Telescope,Mockup 10 File Names,Mockup 10 Parallax,Mockup 10 Mask Radius,Mockup 10 Band,Mockup 10 Crop,Mockup 10 Smoothing,NOTES for Mockup 10
Rings,2MASS J16090075-1908526,2MASS_J16090075-1908526,VLT,7.278158532,,,,FALSE,Rings,Empty,Empty,Empty,Empty,,,,FALSE,Rings,2MASS J16090075-1908526,VLT,2MASS_J16090075-1908526,7.278158532,,,,FALSE,Rings,2MASS J16090075-1908526,VLT,2MASS_J16090075-1908526,7.278158532,5.6,H,120,120,FALSE,Rings,2MASS J16090075-1908526,VLT,2MASS_J16090075-1908526,7.278158532,5.6,120,H,120,FALSE,Rings,2MASS J16090075-1908526,VLT,2MASS_J16090075-1908526,7.278158532,5.6,H,160,FALSE,Rings,2MASS J16090075-1908526,VLT,2MASS_J16090075-1908526,7.278158532,5.6,H,160,FALSE,Rings,TW Hya,VLT,TW_Hya,16.62888121,6.5,H,280,FALSE,Rings,TW Hya,VLT,TW_Hya,16.62888121,6.5,H,280,FALSE,Rings,TW Hya,VLT,TW_Hya,16.62888121,10,H,250,FALSE,
Spirals,EM* LkCa15,LkCa_15,VLT,6.361875682,,,,FALSE,Spirals,TW Hya,TW_Hya,VLT,16.62888121,,,,FALSE,Spirals,TW Hya,VLT,TW_Hya,16.62888121,,,,FALSE,Spirals,TW Hya,VLT,TW_Hya,16.62888121,6.5,H,250,250,FALSE,Spirals,EM* LkCa15,VLT,LkCa_15,6.361875682,4.7,155,H,250,FALSE,Spirals,TW Hya,VLT,TW_Hya,16.62888121,6.5,H,280,FALSE,Spirals,TW Hya,VLT,TW_Hya,16.62888121,6.5,H,280,FALSE,Spirals,RXJ1615-3255,VLT,RXJ1615-3255_SPHERE_2016-03-15_H,6.4273619,11,H,175,FALSE,Spirals,RXJ1615-3255,VLT,RXJ1615-3255_SPHERE_2016-03-15_H,6.4273619,11,H,175,FALSE,Spirals,RXJ1615-3255,VLT,RXJ1615-3255_SPHERE_2016-03-15_H,6.4273619,11,H,200,FALSE,
Broad Shadows,HD163296,HD163296,VLT,9.904265031,,,,FALSE,Broad Shadows,HD163296,HD163296,VLT,9.904265031,,,,FALSE,Broad Shadows,Oph-IRS 48,SUBARU,OphIRS,7.335748107,,,,FALSE,Broad Shadows,HD163296,VLT,HD163296,9.904265031,7.1,H,180,180,FALSE,Broad Shadows,Oph-IRS 48,SUBARU,OphIRS,7.335748107,6.9,230,Ks,180,FALSE,Broad Shadows,HD169142,GEMINI,HD_169142_GPI,8.705276,6.5,J,120,FALSE,Broad Shadows,HD169142,GEMINI,HD_169142_GPI,8.705276,6.5,J,120,FALSE,Broad Shadows,HD169142,GEMINI,HD_169142_GPI,8.705276,6.5,J,120,FALSE,Broad Shadows,HD169142,GEMINI,HD_169142_GPI,8.705276,6.5,J,120,FALSE,Broad Shadows,HD34700,GEMINI,HD_34700_GPI_2018-01-03_J,2.853230347,14,J,150,FALSE,
Narrow Shadows,DZ Cha,DZ_cha,VLT,9.942216369,,,,FALSE,Narrow Shadows,DZ Cha,DZ_cha,VLT,9.942216369,,,,FALSE,Narrow Shadows,DZ Cha,VLT,DZ_cha,9.942216369,,,,FALSE,Narrow Shadows,DZ Cha,VLT,DZ_cha,9.942216369,4.7,J,90,90,FALSE,Narrow Shadows,DZ Cha,VLT,DZ_cha,9.942216369,4.7,90,J,90,FALSE,Narrow Shadows,HD163296,VLT,HD163296,9.904265031,7.1,H,220,FALSE,Narrow Shadows,HD163296,VLT,HD163296,9.904265031,7.1,H,220,FALSE,Narrow Shadows,Oph-IRS 48,SUBARU,OphIRS,7.335748107,6.9,Ks,180,FALSE,Narrow Shadows,Oph-IRS 48,SUBARU,OphIRS,7.335748107,6.9,Ks,180,FALSE,Narrow Shadows,Oph-IRS 48,SUBARU,OphIRS,7.335748107,6.9,Ks,180,FALSE,
Back Side,CQ Tau,TAU,SUBARU,6.694606068,,,,FALSE,Back Side,CQ Tau,TAU,SUBARU,6.694606068,,,,FALSE,Back Side,HD34700,GEMINI,34700,2.853230347,,,,FALSE,Back Side,CQ Tau,SUBARU,TAU,6.694606068,9.8,H,250,250,FALSE,Back Side,HD34700,GEMINI,null,2.853230347,5.8,115,H,250,FALSE,Back Side,DZ Cha,VLT,DZ_cha,9.942216369,4.7,J,90,FALSE,Back Side,DZ Cha,VLT,DZ_cha,9.942216369,4.7,J,90,FALSE,Back Side,GQ Lup,VLT,GQ_Lup,6.489306587,8.5,H,210,FALSE,Back Side,GQ Lup,VLT,GQ_Lup,6.489306587,8.5,H,210,FALSE,Back Side,GQ Lup,VLT,GQ_Lup,6.489306587,9,H,210,FALSE,
Ambient Material,HD34282,34282_SPHERE,VLT,3.240327672,,,,FALSE,Ambient Material,AB Aur,AB_Aur,VLT,6.412709388,,,,FALSE,Ambient Material,AB Aur,VLT,AB_Aur,6.412709388,,,,FALSE,Ambient Material,AB Aur,VLT,AB_Aur,6.412709388,7.2,H,310,310,FALSE,Ambient Material,AB Aur,VLT,AB_Aur,6.412709388,7.2,310,H,310,FALSE,Ambient Material,GQ Lup,VLT,GQ_Lup,6.489306587,8.5,H,210,FALSE,Ambient Material,GQ Lup,VLT,GQ_Lup,6.489306587,8.5,H,210,FALSE,Ambient Material,SR21,VLT,EM_SR21_SPHERE_,7.329848,8.5,H,130,FALSE,Ambient Material,SR21,VLT,EM_SR21_SPHERE_,7.329848,8.5,H,130,FALSE,Ambient Material,SR21,VLT,EM_SR21_SPHERE_,7.329848,9,H,110,FALSE,
Complex,EX Lup,EX_Lup,VLT,6.46343174,,,,FALSE,Complex,EX Lup,EX_Lup,VLT,6.46343174,,,,FALSE,Complex,EX Lup,VLT,EX_Lup,6.46343174,,,,FALSE,Complex,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,180,FALSE,Complex,EX Lup,VLT,EX_Lup,6.46343174,4.8,180,H,180,FALSE,Complex,HD135344B,VLT,HD135344B_SPHERE_2016-06-22,7.4073978,12,J,180,FALSE,Complex,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,Complex,LkHa 330,SUBARU,LKHA330_HiCIAO,3.142522446,13,H,110,FALSE,Complex,LkHa 330,SUBARU,LKHA330_HiCIAO,3.142522446,13,H,110,FALSE,,LkHa 330,SUBARU,LKHA330_HiCIAO,3.142522446,13,H,110,FALSE,
,GW Ori,GW_Ori,GEMINI,2.451004334,,,,FALSE,,GW Ori,GW_Ori,GEMINI,2.451004334,,,,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,,,,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,H,110,110,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,110,H,110,FALSE,,AB Aur,VLT,AB_Aur,6.412709388,7.2,H,310,FALSE,,AB Aur,VLT,AB_Aur,6.412709388,7.2,H,310,FALSE,,HD135344B,VLT,HD135344B_SPHERE_2016-06-22,7.4073978,12,J,110,FALSE,,HD135344B,VLT,HD135344B_SPHERE_2016-06-22,7.4073978,12,J,110,FALSE,,HD135344B,VLT,HD135344B_SPHERE_2016-06-22,7.4073978,12,J,110,FALSE,
,HD139614,HD_139614_GPI_2018-06-08_H,GEMINI,7.483955779,,,,FALSE,,HD139614,HD_139614_GPI_2018-06-08_H,GEMINI,7.483955779,,,,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,,,,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,H,90,90,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,90,H,90,FALSE,,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,FALSE,,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,FALSE,,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,FALSE,,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,FALSE,,EX Lup,VLT,EX_Lup,6.46343174,4.8,H,180,TRUE,
,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,H,325,325,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,325,H,325,FALSE,,WRAY,VLT,WRAY15-788_total_intensity_CUBE,7.1833833,8.5,H(I),FORCE:200:100,FALSE,,WRAY,VLT,WRAY15-788_total_intensity_CUBE,7.1833833,8.5,H(I),FORCE:200:100,FALSE,,WRAY 15-788 ,VLT,WRAY15-788_total_intensity_CUBE,7.1833833,8.5,H,FORCE:200:100,FALSE,,WRAY 15-788 ,VLT,WRAY15-788_total_intensity_CUBE,7.1833833,8.5,H,FORCE:200:100,FALSE,,WRAY 15-788,VLT,WRAY15-788_Qphi_CUBE,7.1833833,9,H,120,FALSE,new polarized intensity image should be much better
